Tower;Type;Level;HP;ATK;DEF;EXP;Drop
1;burgeoner;16;9999;820;10;300;
1;fighter;1;120;55;25;2;guard_piece
1;fighter;3;320;110;40;5;guard_piece
1;fighter;5;600;145;65;10;guard_gem
1;fighter;8;1000;260;85;18;guard_gem
1;fighter;12;2000;440;120;30;guard_potion
1;fighter;15;3500;590;170;47;guard_potion
1;fighter;19;5500;1120;445;70;guard_card
1;fighter;23;8000;1650;620;100;guard_card
1;fighter;28;1600;2150;700;138;guard_card
1;ranger;2;200;200;10;4;red_potion
1;ranger;4;200;350;20;16;red_potion
1;ranger;7;800;280;40;36;blue_potion
1;ranger;10;800;540;60;64;blue_potion
1;ranger;13;800;1050;80;100;blue_potion
1;ranger;16;2000;1100;120;144;life_potion
1;ranger;18;2000;1660;240;196;life_potion
1;ranger;22;3000;2350;360;256;heavenly_potion
1;ranger;26;3000;3740;720;324;heavenly_potion
1;ranger;30;9999;4800;480;400;drop_of_dream_ocean
2;burgeoner;5;2500;100;0;20;
2;burgeoner;9;3000;300;0;50;
2;burgeoner;30;18000;1000;300;470;
2;fighter;1;200;100;0;2;guard_piece
2;fighter;3;300;200;0;5;guard_piece
2;fighter;6;600;300;100;10;guard_gem
2;fighter;11;1000;400;200;18;guard_gem
2;fighter;17;2000;700;300;30;guard_potion
2;fighter;36;5500;1200;600;70;guard_card
2;ranger;3;200;100;0;2;red_potion
2;ranger;6;200;200;100;5;red_potion
2;ranger;13;800;300;100;10;blue_potion
2;ranger;16;800;600;100;18;blue_potion
2;ranger;19;800;800;200;30;blue_potion
2;ranger;23;2000;1000;100;47;life_potion
2;ranger;32;2000;1600;200;70;life_potion
2;ranger;36;3000;2200;400;100;heavenly_potion
2;shadow;3;300;200;0;4;yellow_key
2;shadow;8;500;300;100;16;blue_key
2;shadow;14;600;700;100;36;crimson_key
2;shadow;22;1200;1200;200;64;violet_key
2;shadow;50;5000;3000;0;200;yellow_key
2;shadow;60;7000;4000;100;250;blue_key
2;slasher;1;100;200;0;2;power_piece
2;slasher;3;200;300;0;5;power_piece
2;slasher;6;400;500;0;10;power_gem
2;slasher;11;800;600;100;18;power_gem
2;slasher;17;1000;1000;200;30;power_potion
3;burgeoner;3;100;15;0;30;
3;burgeoner;6;200;25;0;40;
3;burgeoner;9;300;40;10;50;
3;burgeoner;12;500;60;10;60;
3;burgeoner;15;999;80;20;70;
3;burgeoner;18;1400;100;30;80;
3;burgeoner;21;1800;140;40;90;
3;burgeoner;24;2200;180;40;100;
3;burgeoner;32;5000;360;70;120;
3;burgeoner;40;9999;600;200;140;
3;burgeoner;50;18000;999;255;160;
3;burgeoner;70;44444;1800;500;300;
3;fighter;1;20;10;0;3;guard_piece
3;fighter;3;30;20;0;4;guard_piece
3;fighter;5;60;30;10;5;guard_gem
3;fighter;7;100;40;20;6;guard_gem
3;fighter;9;200;70;30;7;guard_potion
3;fighter;11;350;90;40;8;guard_potion
3;fighter;15;550;120;60;9;guard_card
3;fighter;22;800;160;90;10;guard_card
3;fighter;32;2000;280;150;12;guard_card
3;fighter;40;3000;450;250;15;guard_deck
3;fighter;45;6000;900;350;19;guard_deck
3;fighter;65;16000;1400;600;200;pulse_book
3;ranger;1;20;15;0;3;red_potion
3;ranger;3;20;30;10;4;red_potion
3;ranger;5;80;40;10;5;blue_potion
3;ranger;7;80;70;10;6;blue_potion
3;ranger;9;80;100;20;7;blue_potion
3;ranger;11;200;100;30;8;life_potion
3;ranger;15;200;160;50;9;life_potion
3;ranger;22;300;220;80;10;heavenly_potion
3;ranger;26;300;300;120;12;heavenly_potion
3;ranger;35;999;500;160;15;drop_of_dream_ocean
3;ranger;52;999;2500;250;19;drop_of_dream_ocean
3;ranger;60;20000;2000;200;200;golden_feather
3;slasher;1;20;10;0;3;power_piece
3;slasher;3;40;20;0;4;power_piece
3;slasher;5;80;50;0;5;power_gem
3;slasher;7;160;60;5;6;power_gem
3;slasher;9;200;100;10;7;power_potion
3;slasher;11;320;150;15;8;power_potion
3;slasher;15;500;210;20;9;power_card
3;slasher;22;800;300;40;10;power_card
3;slasher;32;1200;400;75;12;power_card
3;slasher;40;2500;650;140;15;power_deck
3;slasher;45;4000;1200;210;19;power_deck
3;slasher;60;8000;1850;300;200;pulse_book
